('Total Revenue', '184,903,000', '168,088,000', '143,015,000', '125,843,000', '110,360,000')
         505558 function calls (486875 primitive calls) in 0.916 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      174    0.000    0.000    0.024    0.000 sre_compile.py:598(_code)
      178    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
  193/160    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      426    0.000    0.000    0.000    0.000 _htmlparser.py:189(handle_data)
      450    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
  137/132    0.000    0.000    0.002    0.000 css_parser.py:383(freeze)
      478    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
  560/555    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      475    0.000    0.000    0.000    0.000 enum.py:631(__new__)
       72    0.000    0.000    0.001    0.000 typing.py:659(__init__)
      150    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:553(_classify_pyc)
      725    0.000    0.000    0.000    0.000 element.py:1456(get)
      203    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      203    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:147(__enter__)
      307    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:376(cached)
      148    0.000    0.000    0.533    0.004 socket.py:655(readinto)
      148    0.000    0.000    0.533    0.004 ssl.py:1230(recv_into)
      174    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      166    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
     1380    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.002    0.002 packages.py:1(<module>)
      687    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      157    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
     1709    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      137    0.000    0.000    0.001    0.000 css_types.py:179(__init__)
      583    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
      203    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      157    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
     1605    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      342    0.000    0.000    0.000    0.000 types.py:171(__get__)
      522    0.000    0.000    0.000    0.000 typing.py:646(_is_dunder)
      428    0.000    0.000    0.000    0.000 __init__.py:739(handle_data)
     1335    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      190    0.000    0.000    0.001    0.000 css_types.py:303(__init__)
      381    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
      691    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       12    0.000    0.000    0.165    0.014 __init__.py:1(<module>)
      182    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
      583    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
       85    0.000    0.000    0.000    0.000 css_parser.py:759(parse_combinator)
      229    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
       78    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
      606    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
      212    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
      348    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      316    0.000    0.000    0.071    0.000 re.py:250(compile)
      150    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:586(_validate_timestamp_pyc)
        1    0.000    0.000    0.001    0.001 six.py:21(<module>)
      295    0.000    0.000    0.000    0.000 css_parser.py:236(css_unescape)
       70    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
      203    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
     1028    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     1028    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       79    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       88    0.000    0.000    0.000    0.000 six.py:142(__init__)
      174    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
      268    0.000    0.000    0.000    0.000 css_parser.py:332(match)
       32    0.000    0.000    0.167    0.005 response.py:728(read_chunked)
      150    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      148    0.000    0.000    0.533    0.004 ssl.py:1090(read)
  152/151    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:516(_check_name_wrapper)
      300    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      233    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      203    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
        1    0.000    0.000    0.787    0.787 financial.py:6(parse_html_yahoo)
       70    0.000    0.000    0.000    0.000 css_parser.py:520(parse_tag_pattern)
     1510    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.916    0.916 financial.py:1(<module>)
    228/3    0.000    0.000    0.129    0.043 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      255    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
        1    0.000    0.000    0.001    0.001 tokenize.py:1(<module>)
    91/57    0.000    0.000    0.071    0.001 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      174    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
       48    0.000    0.000    0.000    0.000 __init__.py:617(_linkage_fixer)
      300    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      142    0.000    0.000    0.000    0.000 os.py:670(__getitem__)
      138    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       40    0.000    0.000    0.000    0.000 functools.py:34(update_wrapper)
      150    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1075(path_stats)
      985    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      376    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
      150    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.185    0.185 connection.py:356(connect)
        9    0.000    0.000    0.000    0.000 typing.py:586(__init__)
       96    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 {method 'getpeercert' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    0.017    0.017 dammit.py:2310(EntitySubstitution)
       10    0.000    0.000    0.002    0.000 enum.py:430(_create_)
        1    0.000    0.000    0.000    0.000 ipaddress.py:385(_IPAddressBase)
      175    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
    41/11    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      470    0.000    0.000    0.000    0.000 {built-in method from_bytes}
  137/132    0.000    0.000    0.001    0.000 css_parser.py:373(_freeze_relations)
      411    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      217    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
       87    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1459(__init__)
    40/18    0.000    0.000    0.086    0.005 {built-in method builtins.__import__}
      485    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       77    0.000    0.000    0.000    0.000 css_types.py:228(__init__)
        1    0.000    0.000    0.000    0.000 message.py:105(Message)
      166    0.000    0.000    0.003    0.000 sre_parse.py:96(closegroup)
      377    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
       12    0.000    0.000    0.000    0.000 datetime.py:488(__new__)
        1    0.000    0.000    0.001    0.001 typing.py:1(<module>)
      379    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
      321    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      264    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       33    0.000    0.000    0.038    0.001 response.py:692(_update_chunk_length)
      378    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
        1    0.000    0.000    0.041    0.041 css_parser.py:1(<module>)
      731    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
    35/27    0.000    0.000    0.007    0.000 css_parser.py:557(parse_pseudo_class)
        1    0.000    0.000    0.000    0.000 ssl.py:1298(_real_close)
        1    0.000    0.000    0.002    0.002 socket.py:4(<module>)
       44    0.000    0.000    0.407    0.009 {method 'readline' of '_io.BufferedReader' objects}
      309    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
