('Total Revenue', '184,903,000', '168,088,000', '143,015,000', '125,843,000', '110,360,000')
         662815 function calls (637022 primitive calls) in 1.061 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      114    0.000    0.000    0.001    0.000 typing.py:187(_subs_tvars)
     1255    0.000    0.000    0.000    0.000 _markupbase.py:40(getpos)
      163    0.000    0.000    0.166    0.001 http11.py:155(_receive_response_body)
     1069    0.000    0.000    0.000    0.000 typing.py:329(__hash__)
      293    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:586(_validate_timestamp_pyc)
     1188    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
      426    0.000    0.000    0.000    0.000 _htmlparser.py:189(handle_data)
      114    0.000    0.000    0.002    0.000 typing.py:677(__getitem__)
      336    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
  137/132    0.000    0.000    0.002    0.000 css_parser.py:383(freeze)
      531    0.000    0.000    0.000    0.000 enum.py:631(__new__)
      200    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
     1957    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
   217/87    0.000    0.000    0.113    0.001 <frozen importlib._bootstrap>:1017(_handle_fromlist)
  295/294    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:516(_check_name_wrapper)
     1957    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     1726    0.000    0.000    0.000    0.000 element.py:1882(descendants)
      358    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
       54    0.000    0.000    0.003    0.000 dataclasses.py:375(_create_fn)
      464    0.000    0.000    0.001    0.000 contextlib.py:238(helper)
      424    0.000    0.000    0.000    0.000 __init__.py:492(string_container)
      406    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
      465    0.000    0.000    0.005    0.000 sre_parse.py:96(closegroup)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      163    0.000    0.000    0.166    0.001 _models.py:1620(iter_raw)
      293    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1075(path_stats)
      164    0.000    0.000    0.169    0.001 _models.py:1569(iter_bytes)
       96    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
       72    0.000    0.000    0.000    0.000 functools.py:34(update_wrapper)
        3    0.000    0.000    0.000    0.000 socket.py:219(__init__)
      361    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      293    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      466    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
     1011    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      464    0.000    0.000    0.000    0.000 contextlib.py:108(__enter__)
      167    0.000    0.000    0.000    0.000 _state.py:226(process_event)
      106    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
     1764    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      293    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.002    0.002 packages.py:1(<module>)
      725    0.000    0.000    0.000    0.000 element.py:1456(get)
       35    0.000    0.000    0.000    0.000 typing.py:586(__init__)
     1126    0.000    0.000    0.000    0.000 typing.py:669(<genexpr>)
      607    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      228    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      526    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
      324    0.000    0.000    0.000    0.000 _receivebuffer.py:76(maybe_extract_at_most)
      467    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      179    0.000    0.000    0.002    0.000 typing.py:689(copy_with)
      137    0.000    0.000    0.001    0.000 css_types.py:179(__init__)
      899    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.001    0.001 six.py:21(<module>)
       75    0.000    0.000    0.000    0.000 os.py:670(__getitem__)
     1669    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
     1087    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      293    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1004(__init__)
    74/26    0.000    0.000    0.142    0.005 {built-in method builtins.__import__}
      729    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      182    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
     1361    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       85    0.000    0.000    0.000    0.000 css_parser.py:759(parse_combinator)
      190    0.000    0.000    0.001    0.000 css_types.py:303(__init__)
      342    0.000    0.000    0.098    0.000 re.py:250(compile)
      785    0.000    0.000    0.000    0.000 _connection.py:182(their_state)
      300    0.000    0.000    0.000    0.000 types.py:171(__get__)
      385    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
      200    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
       65    0.000    0.000    0.001    0.000 typing.py:818(__getitem_inner__)
      209    0.000    0.000    0.000    0.000 _receivebuffer.py:66(_extract)
      518    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      168    0.000    0.000    0.000    0.000 _connection.py:292(_respond_to_state_changes)
       78    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
      612    0.000    0.000    0.000    0.000 typing.py:324(__eq__)
      268    0.000    0.000    0.000    0.000 css_parser.py:332(match)
      144    0.000    0.000    0.651    0.005 ssl.py:1219(recv)
       88    0.000    0.000    0.000    0.000 six.py:142(__init__)
      124    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      400    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
     1334    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      336    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1459(__init__)
      428    0.000    0.000    0.000    0.000 __init__.py:739(handle_data)
       37    0.000    0.000    0.000    0.000 typing.py:900(__init_subclass__)
      144    0.000    0.000    0.651    0.005 ssl.py:1090(read)
        1    0.000    0.000    0.019    0.019 dammit.py:2310(EntitySubstitution)
      131    0.000    0.000    0.002    0.000 typing.py:802(__getitem__)
     1586    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      336    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
       33    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1317(_path_hooks)
      232    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      640    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      361    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
      612    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       48    0.000    0.000    0.001    0.000 typing.py:878(__class_getitem__)
      144    0.000    0.000    0.000    0.000 _connection.py:310(receive_data)
       70    0.000    0.000    0.000    0.000 css_parser.py:520(parse_tag_pattern)
       13    0.000    0.000    0.002    0.000 enum.py:430(_create_)
      481    0.000    0.000    0.000    0.000 typing.py:711(__eq__)
      901    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      912    0.000    0.000    0.000    0.000 _exceptions.py:5(map_exceptions)
      378    0.000    0.000    0.000    0.000 socket.py:86(<lambda>)
      354    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
      407    0.000    0.000    0.001    0.000 typing.py:358(<genexpr>)
       37    0.000    0.000    0.000    0.000 dataclasses.py:669(_get_field)
      295    0.000    0.000    0.000    0.000 css_parser.py:236(css_unescape)
      201    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      540    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       65    0.000    0.000    0.000    0.000 enum.py:543(_find_data_type)
       33    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1549(_fill_cache)
        1    0.000    0.000    0.001    0.001 tokenize.py:1(<module>)
    35/16    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.042    0.042 css_parser.py:1(<module>)
       33    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
        4    0.000    0.000    0.045    0.011 connection.py:1(<module>)
      149    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
      953    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      144    0.000    0.000    0.000    0.000 _receivebuffer.py:52(__iadd__)
       53    0.000    0.000    0.000    0.000 {method 'fullmatch' of 're.Pattern' objects}
      153    0.000    0.000    0.000    0.000 typing.py:206(_check_generic)
      336    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        2    0.000    0.000    0.004    0.002 _sockets.py:1(<module>)
        1    0.000    0.000    0.001    0.001 typing.py:1(<module>)
      168    0.000    0.000    0.000    0.000 _state.py:246(_fire_event_triggered_transitions)
       87    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
      276    0.000    0.000    0.000    0.000 typing.py:685(<genexpr>)
       26    0.000    0.000    0.000    0.000 enum.py:579(_find_new_)
      376    0.000    0.000    0.000    0.000 socket.py:76(<lambda>)
      377    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
       72    0.000    0.000    0.002    0.000 abc.py:84(__new__)
      345    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
       15    0.000    0.000    0.000    0.000 _util.py:105(make_sentinel)
        1    0.000    0.000    0.624    0.624 default.py:199(handle_request)
      379    0.000    0.000    0.000    0.000 socket.py:91(<lambda>)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
        1    0.000    0.000    0.000    0.000 message.py:105(Message)
  137/132    0.000    0.000    0.001    0.000 css_parser.py:373(_freeze_relations)
        1    0.000    0.000    0.003    0.003 socket.py:4(<module>)
      638    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_relax_case)
      163    0.000    0.000    0.166    0.001 default.py:102(__iter__)
        3    0.000    0.000    0.000    0.000 _receivebuffer.py:103(maybe_extract_lines)
      325    0.000    0.000    0.000    0.000 _decoders.py:173(decode)
    35/27    0.000    0.000    0.007    0.000 css_parser.py:557(parse_pseudo_class)
       77    0.000    0.000    0.000    0.000 css_types.py:228(__init__)
       26    0.000    0.000    0.000    0.000 enum.py:143(__prepare__)
      162    0.000    0.000    0.003    0.000 _decoders.py:74(decode)
        1    0.000    0.000    0.000    0.000 ipaddress.py:385(_IPAddressBase)
        1    0.000    0.000    0.000    0.000 http11.py:37(HTTP11Connection)
       12    0.000    0.000    0.000    0.000 datetime.py:488(__new__)
       48    0.000    0.000    0.000    0.000 __init__.py:617(_linkage_fixer)
        1    0.000    0.000    0.000    0.000 {method 'bind' of '_socket.socket' objects}
      288    0.000    0.000    0.000    0.000 _receivebuffer.py:59(__len__)
        3    0.000    0.000    0.004    0.001 request.py:1(<module>)
       15    0.000    0.000    0.001    0.000 dataclasses.py:487(_init_fn)
        1    0.000    0.000    0.000    0.000 events.py:205(AbstractEventLoop)
      328    0.000    0.000    0.000    0.000 _events.py:85(__eq__)
       48    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1558(_ip_int_from_string)
        1    0.000    0.000    0.000    0.000 status_codes.py:107(_init)
        1    0.000    0.000    0.001    0.001 _models.py:1319(text)
       65    0.000    0.000    0.000    0.000 enum.py:532(_get_mixins_)
       13    0.000    0.000    0.003    0.000 enum.py:483(_convert_)
       66    0.000    0.000    0.001    0.000 _htmlparser.py:104(handle_startendtag)
        2    0.000    0.000    0.027    0.013 _synchronization.py:1(<module>)
        3    0.000    0.000    0.081    0.027 __init__.py:2(<module>)
     10/5    0.000    0.000    0.000    0.000 inspect.py:2218(_signature_from_callable)
       45    0.000    0.000    0.000    0.000 enum.py:932(__or__)
      134    0.000    0.000    0.000    0.000 re.py:270(escape)
      167    0.000    0.000    0.000    0.000 {method 'difference' of 'set' objects}
        3    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        2    0.000    0.000    0.032    0.016 _models.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ssl.py:1298(_real_close)
        1    0.000    0.000    0.003    0.003 utils.py:3(<module>)
        1    0.000    0.000    0.061    0.061 __init__.py:8(<module>)
        8    0.000    0.000    0.000    0.000 enum.py:978(_decompose)
